SRC_IP;DEST_IP;HTTP_CODE;HTTP_PATH;RESP_BYTES
10.2.3.1;192.168.10.10;500;/post?id=404;131
10.2.3.4;192.168.10.10;200;/post?id=404;131
10.2.3.6;192.168.10.11;500;/post?id=404;131
10.2.3.1;192.168.10.12;301;/post?id=404;131
10.2.3.7;192.168.10.10;500;/post?id=404;131
10.2.3.2;192.168.10.16;500;/post?id=404;131
10.2.3.4;192.168.10.10;500;/post?id=404;131
10.2.3.4;192.168.10.10;500;/post?id=404;131
10.2.3.1;192.168.10.10;500;/post?id=404;131
10.2.3.1;192.168.10.10;500;/post?id=404;131
10.2.3.1;192.168.10.10;500;/post?id=404;131
10.2.3.1;192.168.10.10;500;/post?id=404;131
10.2.3.1;192.168.10.10;500;/post?id=404;131
10.2.3.1;192.168.10.10;500;/post?id=404;131
10.2.3.1;192.168.10.10;500;/post?id=404;131
10.2.3.1;192.168.10.10;500;/post?id=404;131
10.2.3.133;192.168.10.10;500;/post?id=404;131
10.2.3.155;192.168.10.10;500;/post?id=404;131
10.2.3.163;192.168.10.10;500;/post?id=404;131
10.2.3.23;192.168.10.10;500;/post?id=404;131
10.2.3.1234;192.168.10.10;500;/post?id=404;131
10.2.3.4;192.168.10.10;500;/post?id=404;131
10.2.3.223;192.168.10.10;500;/post?id=404;131
10.2.3.4555;192.168.10.10;500;/post?id=404;131
